pid_x,pid_y,pid_z,front_left_speed,front_right_speed,back_left_speed,back_right_speed,orientation_x,orientation_y,orientation_z,acceleration_x,acceleration_y,acceleration_z,accel_rejected,mag_rejected,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z
-0.291207,0,0,5.29121,5.29121,5,5,0.485345,-0.047839,-0.227489,0.0341659,-0.426001,0.0714587,0,0,3.78,-113.243,-1.855,-0.006832,-0.421876,-0.941718,-0.05334,0.24262,0.3318
-0.575386,0,0,5.57539,5.57539,5,5,0.958976,-0.0859835,-0.459068,0.0394481,-0.414438,0.0720915,0,0,3.6575,-113.19,-1.9075,-0.002196,-0.418582,-0.940986,-0.05334,0.24262,0.3318
-0.855162,0,0,5.85516,5.85516,5,5,1.42527,-0.128314,-0.690074,0.0362994,-0.406301,0.0732732,0,0,3.955,-113.155,-1.7675,-0.0061,-0.418582,-0.939644,-0.0532,0.24402,0.32536
-1.12958,0,0,6.12958,6.12958,5,5,1.88263,-0.168131,-0.918875,0.0366298,-0.401498,0.0649264,0,0,3.955,-113.085,-1.6975,-0.006466,-0.421754,-0.947696,-0.0532,0.24402,0.32536
-1.40021,0,0,6.40021,6.40021,5,5,2.33369,-0.206165,-1.14581,0.0368077,-0.392776,0.0716427,0,0,3.815,-113.365,-1.75,-0.006954,-0.4209,-0.940742,-0.0532,0.24402,0.32536
-1.66651,0,0,6.66651,6.66651,5,5,2.77751,-0.243279,-1.3696,0.0361191,-0.386503,0.0700653,0,0,3.885,-113.418,-1.715,-0.008296,-0.422364,-0.941962,-0.0532,0.24402,0.32536
-1.92652,0,0,6.92652,6.92652,5,5,3.21087,-0.274334,-1.59406,0.038362,-0.375897,0.0706514,0,0,3.955,-113.155,-1.7675,-0.006588,-0.419314,-0.940986,-0.0532,0.24402,0.32536
-2.18316,0,0,7.18316,7.18316,5,5,3.63861,-0.302675,-1.81725,0.0393425,-0.370033,0.0722931,0,0,3.92,-113.278,-1.7675,-0.0061,-0.4209,-0.938912,-0.0532,0.24402,0.32536
-2.43604,0,0,7.43604,7.43604,5,5,4.06007,-0.326775,-2.03999,0.041221,-0.365136,0.0711822,0,0,3.815,-113.173,-1.785,-0.004636,-0.42334,-0.939522,-0.0532,0.24402,0.32536
-2.68352,0,0,7.68352,7.68352,5,5,4.47254,-0.350032,-2.25633,0.0396831,-0.357225,0.0695377,0,0,3.815,-113.278,-1.855,-0.006588,-0.422608,-0.94062,-0.0504,0.2436,0.33292
-2.92725,0,0,7.92725,7.92725,5,5,4.87876,-0.36799,-2.47337,0.0424262,-0.35138,0.0696955,0,0,3.7975,-113.26,-1.8025,-0.004148,-0.423828,-0.939888,-0.0504,0.2436,0.33292
-3.16611,0,0,8.16611,8.16611,5,5,5.27685,-0.387225,-2.68568,0.0398463,-0.344093,0.0684636,0,0,3.7975,-113.12,-1.855,-0.007076,-0.423462,-0.940498,-0.0504,0.2436,0.33292
-3.40003,0,0,8.40003,8.40003,5,5,5.66671,-0.399744,-2.89997,0.0434664,-0.335366,0.0701494,0,0,3.8675,-113.26,-1.7675,-0.00366,-0.42151,-0.93818,-0.0504,0.2436,0.33292
-3.6299,0,0,8.6299,8.6299,5,5,6.04984,-0.412798,-3.11042,0.0418719,-0.329448,0.0686046,0,0,3.99,-113.26,-1.75,-0.00549,-0.422242,-0.939034,-0.0504,0.2436,0.33292
-3.85455,0,0,8.85455,8.85455,5,5,6.42424,-0.422526,-3.32001,0.0427706,-0.321731,0.0671558,0,0,4.0075,-113.19,-1.75,-0.004758,-0.421022,-0.939766,-0.0504,0.2436,0.33292
-4.07524,0,0,9.07524,9.07524,5,5,6.79207,-0.430494,-3.52819,0.0431527,-0.31572,0.066539,0,0,4.06,-113.4,-1.8375,-0.004514,-0.421388,-0.939644,-0.0504,0.2436,0.33292
-4.29108,0,0,9.29108,9.29108,5,5,7.15179,-0.438524,-3.73272,0.041592,-0.308756,0.0650381,0,0,3.99,-113.225,-1.785,-0.006222,-0.420656,-0.940376,-0.0504,0.2436,0.33292
-4.50251,0,0,9.50251,9.50251,5,5,7.50419,-0.442269,-3.94055,0.04433,-0.302534,0.0637614,0,0,3.9375,-113.453,-1.7675,-0.003538,-0.420534,-0.940864,-0.04998,0.24346,0.32718
-4.71177,0,0,9.71177,9.71177,5,5,7.85296,-0.447763,-4.14391,0.0422392,-0.298211,0.0657752,0,0,3.9725,-113.418,-1.75,-0.005734,-0.422242,-0.938058,-0.04998,0.24346,0.32718
-4.91472,0,0,9.91472,9.91472,5,5,8.1912,-0.447796,-4.34784,0.0444265,-0.289923,0.0615088,0,0,4.06,-113.26,-1.6275,-0.003538,-0.419802,-0.941474,-0.04998,0.24346,0.32718
-5.11386,0,0,10.1139,10.1139,5,5,8.5231,-0.447238,-4.549,0.0436879,-0.284681,0.060421,0,0,3.92,-113.12,-1.61,-0.00427,-0.42029,-0.941718,-0.04998,0.24346,0.32718
-5.31064,0,0,10.3106,10.3106,5,5,8.85106,-0.447897,-4.74637,0.04212,-0.28061,0.0612777,0,0,3.955,-113.155,-1.5925,-0.005856,-0.421876,-0.94001,-0.04998,0.24346,0.32718
-5.50285,0,0,10.5028,10.5028,5,5,9.17142,-0.444712,-4.94372,0.0435223,-0.273622,0.0604024,0,0,4.06,-113.085,-1.68,-0.004392,-0.420412,-0.94001,-0.04998,0.24346,0.32718
